gallery_id,url,業種,タイプ,軸1_左,軸1_右,軸1_値0to10,軸2_左,軸2_右,軸2_値0to10,軸3_左,軸3_右,軸3_値0to10,投稿者コメント,背景色,文字色,フォント分類,フォント(生値),ボタン角丸px,角丸あり,動画あり,Canvas/WebGLあり,YouTube/Vimeo埋込,JSアニメライブラリ,動き系要素あり
23111,https://www.dream-v.co.jp/,Webサービス・アプリ,コーポレートサイト,先進的,レトロ,0,賑やか,落ち着き,8,かっこいい,かわいい,1,手ざわり感の演出,transparent,#000000,ゴシック・sans系,"""Noto Sans JP""",0,False,True,True,False,,True
22921,https://www.sanikleen.co.jp/recruit/honbu/,暮らし・建築・不動産,採用サイト,信頼,ポップ,0,華やか,落ち着き,9,親しみやすい,堅実,6,イラストと組み合わせたスライダーが特徴的,transparent,#222222,ゴシック・sans系,"""Noto Sans JP""",60,True,False,False,False,,False
7771,https://www.maruko.com/corp/recruit/,コスメティック・美容,採用サイト,明るい,暗い,0,女性的,男性的,0,素朴,華やか,10,いきるを考える,#ffffff,#444444,ゴシック・sans系,游ゴシック,,False,False,True,False,,True
22571,https://www.navicus.jp/,企画・制作・開発,採用サイト,暗い,明るい,9,柔らかい,硬い,3,クラシカル,先進的,8,みずみずしい透明感,transparent,#2b283b,ゴシック・sans系,"""Zen Kaku Gothic Antique""",50,True,False,False,False,gsap,True
20725,https://www.taikisha.co.jp/recruit/,暮らし・建築・不動産,採用サイト,明るい,暗い,0,柔らかい,硬い,0,落ち着きがある,活気がある,0,本のようなデザイン,#ffffff,#000000,ゴシック・sans系,游ゴシック体,,False,False,True,True,,True
20646,https://hakusuku.jp/recruit/,企画・制作・開発,採用サイト,シンプル,派手,0,真面目,遊び心がある,2,明るい,暗い,0,シンプル格好いいの最上級,#eeeeee,#231f20,その他/欧文,"""Shippori Antique""",0,False,True,False,True,,True
20917,https://www.southernlink.co.jp/,金融・証券・保険・法律,採用サイト,スマート,パワフル,2,カラフル,モノトーン,3,カジュアル,フォーマル,6,洗練された空間,#ffffff,#000000,ゴシック・sans系,YakuHanJP/Noto Sans JP,0,False,False,False,False,,False
21228,https://jobs.nealle.com/,暮らし・建築・不動産,採用サイト,暗い,明るい,8,かわいい,格好いい,8,シンプル,ポップ,2,ポップさと信頼感のバランスがGood！,transparent,#222222,ゴシック・sans系,YakuHanJPs/Noto Sans JP,99990,True,False,False,False,,False
20812,https://www.sankei-digital.co.jp/recruit/,TV・映画・芸能,採用サイト,シンプル,派手,2,真面目,遊び心がある,1,堅実,放漫,0,カジュアルでおしゃれ,#f5f5f5,#211e1d,ゴシック・sans系,source-han-sans-japanese,0,False,False,False,False,,False
20950,https://www.umetoku.co.jp/recruitingsite/,機械・電機・工業・流通,採用サイト,動きがある,落ち着き,3,個性的,スタンダード,3,ユニーク,王道,1,淡いイラストが印象的なシンプルなデザイン,#ffffff,#000000,ゴシック・sans系,"""Zen Kaku Gothic New""",0,False,True,False,False,,True
